numbers,stimuli,correctanswer,correctanswer2,condition,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key,accuracy,RTs,participant,gender,age,handedness,frameRate,expName,date
6,lawyer_6.png,a,g,t,3,5,29,4,g,1,0.5676328447,35,m,21,d,60.01808426,SNARC lie 1,2019_May_16_1301
1,lawyer_1.png,g,a,t,3,6,30,0,a,1,0.567634311,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
4,lawyer_4.png,a,g,t,4,7,39,3,g,1,0.5676350442,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
4,lawyer_4.png,a,g,t,3,7,31,3,g,1,0.5676379767,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
7,lawyer_7.png,g,a,t,4,2,34,5,g,1,0.5676394426,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
3,lawyer_3.png,g,a,t,1,1,9,2,g,1,0.567640909,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
7,lawyer_7.png,g,a,t,4,0,32,5,a,1,0.5676416424,1,f,27,d,59.90355943,SNARC lie 1,2019_Apr_01_1630
3,lawyer_3.png,g,a,t,2,5,21,2,g,1,0.5676420089,15,f,19,d,60.03657565,SNARC lie 1,2019_Apr_17_1720
1,lawyer_1.png,g,a,t,3,4,28,0,g,1,0.5676456746,15,f,19,d,60.03657565,SNARC lie 1,2019_Apr_17_1720
6,lawyer_6.png,a,g,t,0,1,1,4,g,1,0.5676467742,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
3,lawyer_3.png,g,a,t,2,7,23,2,a,1,0.5676489733,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
7,lawyer_7.png,g,a,t,1,4,12,5,a,1,0.5676530057,15,f,19,d,60.03657565,SNARC lie 1,2019_Apr_17_1720
7,lawyer_7.png,g,a,t,4,5,37,5,a,1,0.5676537389,18,f,23,d,60.01702786,SNARC lie 2,2019_Apr_18_1207
1,lawyer_1.png,g,a,t,0,2,2,0,g,1,0.5676599704,24,f,21,m,59.99393041,SNARC lie 2,2019_Apr_24_0942
6,lawyer_6.png,a,g,t,1,3,11,4,g,1,0.56766107,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
1,lawyer_1.png,g,a,t,2,4,20,0,g,1,0.5676636361,33,f,20,d,60.02283803,SNARC lie 1,2019_Apr_30_1445
1,lawyer_1.png,g,a,t,3,4,28,0,a,1,0.567664369,24,f,21,m,59.99393041,SNARC lie 2,2019_Apr_24_0942
8,lawyer_8.png,a,g,t,2,2,18,6,g,1,0.567664369,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
6,lawyer_6.png,a,g,t,1,2,10,4,g,1,0.5676658354,38,f,21,d,60.00791881,SNARC lie 2,2019_May_16_1737
2,lawyer_2.png,a,g,t,3,6,30,1,g,1,0.5676662019,9,m,27,d,60.0087107,SNARC lie 1,2019_Apr_10_1212
4,lawyer_4.png,a,g,t,4,3,35,3,a,1,0.5676695008,19,f,19,d,60.02878139,SNARC lie 1,2019_Apr_18_1302
6,lawyer_6.png,a,g,t,4,4,36,4,a,1,0.5676738997,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
4,lawyer_4.png,a,g,t,3,5,29,3,a,1,0.5676757325,32,f,21,d,60.00791881,SNARC lie 2,2019_Apr_30_1358
3,lawyer_3.png,g,a,t,2,7,23,2,g,1,0.5676768321,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
4,lawyer_4.png,a,g,t,4,5,37,3,a,1,0.5676867291,28,f,21,d,60.03657565,SNARC lie 2,2019_Apr_30_0939
8,lawyer_8.png,a,g,t,3,7,31,6,a,1,0.5676878289,6,f,21,d,60.01676381,SNARC lie 2,2019_Apr_10_0911
8,lawyer_8.png,a,g,t,4,1,33,6,a,1,0.567688562,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
4,lawyer_4.png,a,g,t,1,0,8,3,g,1,0.5676907615,25,m,19,s,60.01491534,SNARC lie 1,2019_Apr_24_1610
6,lawyer_6.png,a,g,t,0,1,1,4,a,1,0.5676969929,11,f,21,d,60.03644348,SNARC lie 1,2019_Apr_10_1403
9,lawyer_9.png,g,a,t,0,5,5,7,g,1,0.567706157,16,f,27,d,60.02680016,SNARC lie 2,2019_Apr_18_1009
7,lawyer_7.png,g,a,t,2,5,21,5,g,1,0.5677076231,13,f,19,d,60.00092376,SNARC lie 1,2019_Apr_17_1458
6,lawyer_6.png,a,g,t,1,4,12,4,a,1,0.5677090893,31,m,21,d,60.02297006,SNARC lie 1,2019_Apr_30_1303
6,lawyer_6.png,a,g,t,1,7,15,4,a,1,0.5677332822,21,f,20,d,60.02323421,SNARC lie 1,2019_Apr_18_1508
2,lawyer_2.png,a,g,t,4,6,38,1,a,1,0.5677358483,14,m,21,d,60.00686277,SNARC lie 2,2019_Apr_17_1552
4,lawyer_4.png,a,g,t,4,2,34,3,a,1,0.5677461121,29,m,20,d,60.00580693,SNARC lie 1,2019_Apr_30_1119
6,lawyer_6.png,a,g,t,3,6,30,4,a,1,0.5677549094,11,f,21,d,60.03644348,SNARC lie 1,2019_Apr_10_1403
1,lawyer_1.png,g,a,t,1,5,13,0,a,1,0.5677571087,34,f,23,s,60.01557549,SNARC lie 2,2019_May_16_1156
7,lawyer_7.png,g,a,t,2,5,21,5,a,1,0.5677596746,10,f,21,d,60.01095477,SNARC lie 2,2019_Apr_10_1300
1,lawyer_1.png,g,a,t,4,2,34,0,g,1,0.567776903,30,m,26,d,60.02297006,SNARC lie 2,2019_Apr_30_1211
